week,port,region,shipping_mode,avg_wait_days,disruption_index,freight_rate_usd,fuel_price_usd,backlog_teu,on_time_pct
2018-04-29,Los Angeles,Europe,tanker,1.56,11.54,1316.27,1.89,12188,83.42
2024-01-14,New York/New Jersey,Africa,bulk,4.97,14.78,1631.46,2.93,13991,75.63
2021-01-17,Antwerp,Africa,bulk,2.68,8.18,3351.76,2.37,9036,82.19
2021-01-31,Long Beach,Middle East,tanker,0.2,16.38,3024.38,2.62,3157,84.69
2018-07-01,Shanghai,Europe,tanker,5.03,18.3,2009.25,2.46,8224,74.45
2023-02-12,Hamburg,Europe,tanker,3.07,12.36,1567.02,2.74,7406,80.15
2018-12-02,Rotterdam,Asia,tanker,7.06,56.01,2065.13,1.2,20905,59.08
2023-08-20,Shanghai,North America,ro-ro,3.23,25.23,1862.77,1.5,11354,75.97
2021-12-19,Colombo,Asia,tanker,4.47,12.29,1770.04,1.77,13792,77.37
2023-10-29,Rotterdam,North America,ro-ro,2.1,17.95,814.8,2.09,14557,80.41
2018-01-21,Durban,South America,bulk,3.2,32.98,907.05,2.9,20979,73.71
2023-07-09,Busan,Africa,tanker,1.55,12.28,1258.12,2.56,26297,83.22
2019-01-27,Singapore,Africa,tanker,4.13,19.25,1315.83,1.97,17336,75.96
2016-10-09,Manzanillo,Europe,tanker,2.44,31.58,1630.62,1.46,19888,75.65
2019-04-14,Valencia,Asia,container,2.16,5.13,1192.98,1.71,9404,84.14
2017-04-09,Manzanillo,Africa,bulk,2.74,14.91,2999.53,2.13,22756,80.05
2024-04-28,Houston,Middle East,tanker,3.89,40.53,2684.53,2.03,19260,70.06
2022-04-24,Colombo,Middle East,container,1.75,20.77,2676.84,2.54,11133,80.27
2021-05-02,Savannah,Africa,tanker,7.38,30.17,2125.45,2.87,17317,66.19
2015-03-01,Rotterdam,Middle East,ro-ro,1.11,46.54,2261.89,1.54,22096,73.82
2021-07-25,Singapore,Africa,container,2.6,38.8,2034.31,3.4,25914,73.16
2018-09-02,Busan,Asia,bulk,0.2,67.29,2377.73,1.99,19822,69.41
2024-03-03,Durban,Europe,container,0.79,11.67,2366.24,2.73,14002,84.92
2023-08-13,Tanjung Priok,Middle East,ro-ro,0.89,40.74,1622.96,2.18,23520,76.0
2022-10-30,Santos,Europe,tanker,3.85,27.91,1590.82,1.78,12176,73.93
2022-05-01,Tanjung Priok,Asia,ro-ro,0.2,13.6,2214.22,2.2,6107,85.52
2022-11-13,Ningbo,North America,bulk,1.91,12.67,2132.79,2.13,3956,82.38
2024-12-15,Savannah,Middle East,ro-ro,6.06,61.14,3365.89,2.09,20714,59.54
2020-04-12,Colombo,Middle East,container,5.39,54.43,1759.72,2.65,24769,62.89
2018-03-18,Manzanillo,Europe,tanker,5.81,35.72,1994.58,3.46,18818,67.66
2018-11-25,Colombo,Europe,bulk,1.37,22.23,1235.29,1.43,21554,80.59
2021-07-18,Long Beach,North America,tanker,0.2,8.47,1049.55,3.46,14019,87.06
2017-10-08,Busan,Middle East,ro-ro,5.57,39.92,1498.75,2.0,20836,66.88
2018-04-01,Valencia,North America,bulk,2.56,25.29,1893.3,1.49,28092,77.29
2018-12-09,Rotterdam,Asia,tanker,3.05,35.6,1688.37,2.68,12091,73.22
2016-07-31,Rotterdam,Europe,bulk,7.55,30.64,2190.66,2.09,15833,65.71
2023-07-30,New York/New Jersey,Africa,bulk,0.2,36.39,1985.26,2.4,11216,78.68
2018-01-07,Durban,Asia,container,3.79,3.51,2418.0,2.47,7656,81.37
2024-05-12,Rotterdam,Asia,container,0.2,13.16,2199.99,0.8,12200,85.65
2024-03-31,Durban,Africa,ro-ro,0.73,18.01,1907.44,2.56,20991,83.14
2019-03-03,Santos,Africa,ro-ro,4.77,51.26,2536.3,1.26,27532,65.08
2024-02-04,Hamburg,North America,ro-ro,3.35,74.78,3068.0,2.62,27129,60.87
2017-07-09,Singapore,Europe,ro-ro,2.89,47.29,1821.69,2.22,33184,70.03
2021-05-30,Ningbo,Africa,ro-ro,4.45,16.33,2701.45,1.74,27524,76.2
2022-09-25,Durban,North America,tanker,2.52,47.73,2076.12,2.98,19057,70.64
2024-08-04,Colombo,North America,bulk,0.88,19.8,2284.27,1.85,17934,82.3
2018-07-01,Hamburg,Asia,tanker,2.97,13.98,2868.13,3.22,15759,79.87
2021-09-05,Manzanillo,North America,ro-ro,4.56,24.36,2796.69,1.38,30585,73.57
2016-07-10,Hamburg,Europe,ro-ro,2.85,43.18,1850.34,2.28,22069,71.35
2018-09-09,Long Beach,Europe,tanker,0.95,49.79,2801.55,2.97,23568,73.16
2023-07-16,New York/New Jersey,Asia,ro-ro,2.7,30.95,2020.61,2.33,18547,75.32
2018-07-15,Felixstowe,Europe,tanker,5.95,52.22,2570.37,2.75,19909,62.43
2021-02-07,Jebel Ali,Africa,ro-ro,4.09,13.65,2825.19,2.65,14311,77.72
2015-09-06,Shanghai,Middle East,bulk,4.22,6.84,1435.61,2.4,15067,79.51
2018-03-18,Jebel Ali,Africa,container,2.41,25.27,1329.46,3.48,11728,77.6
2024-02-18,New York/New Jersey,Asia,container,1.62,36.01,3084.98,1.78,15857,75.96
2022-12-11,Los Angeles,Europe,tanker,2.89,12.67,1533.95,2.53,7414,80.42
2017-07-09,Colombo,South America,ro-ro,4.29,16.09,2336.22,1.9,21836,76.59
2023-12-03,Los Angeles,Middle East,ro-ro,1.9,53.89,2104.61,1.38,8367,70.03
2023-04-16,Long Beach,Asia,ro-ro,1.75,38.81,2690.61,2.18,17437,74.86
2020-01-26,Savannah,South America,ro-ro,0.83,15.98,2275.86,2.46,3676,83.55
2024-11-10,Busan,Middle East,tanker,5.19,28.13,1699.58,1.32,20277,71.18
2022-02-27,Savannah,Europe,ro-ro,4.61,52.12,1724.56,2.03,25645,65.14
2022-07-10,New York/New Jersey,Europe,container,3.63,33.61,1706.23,2.04,19094,72.66
2021-08-15,Colombo,Asia,bulk,2.35,18.85,2686.01,2.56,17413,79.64
2023-12-03,Felixstowe,North America,ro-ro,4.75,65.79,2605.54,2.98,25870,60.76
2020-07-12,Long Beach,North America,ro-ro,5.02,20.74,2854.36,1.67,19301,73.74
2024-01-14,Busan,North America,tanker,3.41,11.33,1573.05,2.27,18350,79.78
2019-12-15,Felixstowe,Asia,tanker,5.39,25.52,2308.06,2.92,10293,71.56
2015-06-21,Durban,Asia,bulk,2.48,4.81,1988.32,3.24,6990,83.6
2020-10-04,Busan,Middle East,container,5.05,22.3,1625.75,2.41,10113,73.21
2023-10-08,Singapore,Asia,container,2.73,27.42,2956.72,2.92,10640,76.31
2017-03-12,Busan,Africa,container,4.51,14.39,1937.47,2.83,8977,76.66
2022-10-09,Hamburg,Europe,container,0.2,59.43,2052.93,1.94,33757,71.77
2016-11-06,Houston,Africa,bulk,0.2,10.9,1692.35,3.31,15494,86.33
2024-09-08,Felixstowe,Asia,tanker,4.67,15.11,2980.17,2.82,22745,76.13
2023-12-31,Tanjung Priok,Europe,ro-ro,7.4,60.8,2872.79,2.26,26365,56.96
2015-10-18,New York/New Jersey,Asia,tanker,3.19,23.1,2858.57,2.72,26231,76.69
2015-10-04,Houston,South America,container,5.23,26.19,2766.61,3.72,18429,71.68
2022-07-03,Manzanillo,Africa,container,3.15,54.08,2271.74,1.95,11547,67.48
2021-08-15,Ningbo,Middle East,ro-ro,1.63,20.11,3326.37,3.24,17120,80.71
2015-06-07,Rotterdam,Africa,tanker,5.11,32.04,2070.09,2.24,12743,70.17
2016-07-24,Felixstowe,North America,bulk,4.42,44.41,753.03,2.2,17853,67.84
2020-02-16,Ningbo,South America,bulk,4.88,34.19,3409.15,3.37,22906,69.98
2015-12-20,Busan,South America,ro-ro,6.71,30.47,1914.31,2.98,23334,67.44
2019-03-24,Felixstowe,Asia,bulk,4.52,21.53,2449.56,3.18,24710,74.5
2020-06-07,Manzanillo,Africa,container,6.54,18.59,1844.24,2.37,18114,71.34
2022-10-30,Rotterdam,Africa,tanker,0.6,39.69,2119.81,2.53,18756,76.89
2020-05-10,Los Angeles,Middle East,bulk,2.27,44.23,1611.07,3.26,31279,72.19
2015-05-17,Felixstowe,Africa,bulk,1.93,47.14,2611.19,2.06,15773,72.0
2020-05-24,Shanghai,Middle East,tanker,1.93,31.05,1527.26,3.19,26415,76.82
2016-11-27,Hamburg,Europe,container,2.45,40.48,2851.94,3.73,18144,72.96
2021-05-16,Hamburg,North America,tanker,0.88,46.91,1999.28,1.73,24390,74.17
2024-01-14,Colombo,Middle East,tanker,0.9,56.48,2636.71,1.63,22323,71.26
2022-08-21,Santos,South America,container,6.25,35.35,915.16,2.29,19570,66.9
2021-09-26,Singapore,Asia,tanker,4.9,27.69,1627.38,2.21,25831,71.89
2023-09-24,Houston,Middle East,ro-ro,2.72,21.45,1527.15,2.15,18990,78.12
2019-02-17,Durban,Africa,bulk,2.91,27.9,2065.66,2.81,10768,75.81
2022-08-28,Shanghai,Middle East,container,3.58,49.63,3032.37,2.52,34268,67.95
2016-07-17,Santos,South America,tanker,3.96,11.75,1227.94,2.69,12062,78.55
2016-08-21,Antwerp,Africa,tanker,1.95,20.91,1964.2,2.74,15650,79.83
2020-12-20,Ningbo,Asia,ro-ro,3.91,21.83,2152.77,2.49,21421,75.63
2024-03-03,Los Angeles,Europe,bulk,4.5,31.5,2759.53,2.68,27324,71.55
2021-11-28,Colombo,Middle East,ro-ro,3.07,20.7,1093.74,1.34,14210,77.65
2015-06-14,Ningbo,South America,ro-ro,3.54,20.75,2013.48,2.84,24425,76.7
2019-08-11,Jebel Ali,South America,bulk,1.8,11.41,2581.25,2.08,3543,82.98
2022-06-05,Tanjung Priok,North America,container,6.25,41.52,2135.12,1.66,22375,65.04
2022-10-09,Antwerp,Europe,container,1.29,28.63,1520.37,1.82,19636,78.83
2020-09-06,Rotterdam,Europe,ro-ro,1.05,58.91,3146.27,2.22,25699,70.23
2023-01-08,Busan,Europe,ro-ro,5.58,15.38,2290.23,2.47,9778,74.23
2020-06-21,Singapore,Asia,container,5.55,11.82,1538.68,2.06,13849,75.35
2021-03-28,Manzanillo,South America,ro-ro,5.66,12.0,1863.43,1.34,9124,75.08
2019-06-02,Jebel Ali,Middle East,ro-ro,6.78,15.63,1168.16,1.7,16394,71.75
2020-08-16,Valencia,Europe,bulk,0.2,32.59,1341.54,2.75,26032,79.82
2022-11-06,Ningbo,North America,tanker,0.42,59.06,3377.76,2.83,18850,71.44
2024-02-11,Rotterdam,Africa,container,2.23,41.01,3183.57,2.42,19038,73.24
2022-07-10,Colombo,Africa,ro-ro,4.17,12.89,2770.44,1.85,10010,77.79
2023-03-19,Felixstowe,Europe,container,4.32,6.27,1114.67,2.5,10199,79.48
2019-05-26,Houston,South America,container,3.6,26.72,1570.84,2.33,6046,74.78
2023-01-08,Los Angeles,Asia,bulk,5.04,2.37,2054.41,3.72,13056,79.21
2018-04-08,Colombo,Africa,ro-ro,0.2,41.75,2131.36,2.4,18301,77.07
2016-10-16,Busan,North America,ro-ro,5.94,54.14,2020.03,2.43,28002,61.88
2018-10-14,Rotterdam,Middle East,tanker,1.07,36.64,1614.76,2.11,13513,76.87
2019-09-15,Rotterdam,Middle East,bulk,4.39,26.81,3121.96,3.05,21332,73.18
2021-05-02,Houston,Asia,container,4.54,9.36,1617.14,2.73,5450,78.11
2015-08-09,Antwerp,South America,ro-ro,3.32,15.54,2148.03,2.14,15715,78.7
2024-01-07,Hamburg,Africa,ro-ro,0.46,21.25,2264.96,3.15,21121,82.7
2019-09-29,Rotterdam,Middle East,container,2.96,63.35,3633.98,1.93,19320,65.08
2021-07-04,Rotterdam,Europe,ro-ro,5.49,44.07,1494.37,2.63,7872,65.8
2016-05-15,Los Angeles,Africa,container,3.53,15.66,2230.09,2.18,6520,78.24
2022-12-25,Manzanillo,Middle East,ro-ro,3.73,42.9,2657.87,2.81,21905,69.67
2016-05-22,Felixstowe,Asia,container,3.98,12.8,1772.26,1.92,16146,78.2
2015-06-21,Valencia,Middle East,container,0.2,65.65,1649.37,1.97,30802,69.9
2020-09-27,Jebel Ali,Africa,container,7.21,5.16,1171.72,1.75,20105,74.03
2022-02-20,Jebel Ali,Africa,ro-ro,2.08,42.16,2048.04,1.87,22621,73.19
2023-05-28,Savannah,North America,bulk,6.18,35.88,2728.98,1.93,15725,66.88
2020-02-23,Colombo,North America,bulk,7.36,31.1,2793.11,2.69,21835,65.95
2022-03-13,Felixstowe,Africa,tanker,0.2,60.0,2141.14,1.63,24302,71.6
2017-10-15,Hamburg,Middle East,bulk,2.73,32.44,3196.8,3.12,18058,74.81
2020-03-08,Savannah,Asia,container,6.56,26.36,1842.47,3.49,21810,68.97
2023-12-31,Santos,Europe,tanker,4.38,32.71,2176.44,1.68,25175,71.43
2021-09-19,Ningbo,Africa,ro-ro,5.51,6.78,2317.33,2.37,22851,76.95
2021-06-27,Valencia,Africa,tanker,1.79,10.96,1388.38,2.54,6873,83.13
2020-05-24,Tanjung Priok,North America,bulk,4.11,30.66,2321.13,3.18,17216,72.58
2017-11-26,Manzanillo,Asia,container,5.03,37.75,1852.97,1.54,12699,68.61
2019-05-05,Busan,South America,tanker,7.43,39.59,2346.04,2.39,16187,63.26
2020-09-20,Ningbo,Africa,bulk,1.71,33.47,2629.94,2.64,18218,76.54
2020-12-27,Santos,Africa,ro-ro,5.37,28.01,1922.26,2.05,19719,70.86
2020-10-11,Houston,Africa,bulk,1.88,18.74,2663.42,3.18,19436,80.62
2017-11-19,Tanjung Priok,Asia,ro-ro,6.63,77.69,3519.44,2.62,19047,53.43
2020-01-19,Hamburg,North America,bulk,4.73,1.52,2854.91,3.2,10546,80.08
2020-12-13,Houston,South America,container,4.82,13.47,2360.34,2.71,14834,76.32
2020-02-02,Busan,Africa,ro-ro,1.98,30.64,2427.46,3.06,16722,76.85
2024-05-12,Tanjung Priok,Europe,tanker,1.86,11.93,922.98,3.35,8070,82.7
2018-01-21,Colombo,South America,tanker,2.34,31.41,2999.23,2.6,15047,75.9
2022-05-08,Jebel Ali,Middle East,bulk,4.36,31.34,1144.11,2.27,21557,71.88
2024-06-16,Rotterdam,Middle East,ro-ro,4.96,28.69,1799.65,2.46,23822,71.47
2015-04-12,New York/New Jersey,Asia,bulk,2.79,10.35,2997.84,2.6,15088,81.32
2021-01-24,Antwerp,Europe,bulk,7.13,17.61,2689.88,2.72,7728,70.46
2020-06-14,Tanjung Priok,Africa,container,2.52,54.06,3581.09,3.08,21160,68.74
2018-11-11,Busan,Middle East,ro-ro,5.37,22.05,1662.97,2.59,22100,72.65
2015-03-29,Manzanillo,Europe,bulk,4.4,59.14,1878.74,2.54,25234,63.46
2022-02-20,Long Beach,Middle East,container,3.63,29.1,1378.64,3.08,24603,74.01
2021-06-20,Manzanillo,North America,tanker,3.35,6.36,1830.57,2.98,20974,81.39
2016-07-24,Long Beach,Middle East,bulk,1.19,12.56,2225.16,2.36,17984,83.85
2019-10-20,Shanghai,Africa,bulk,5.89,35.75,3376.09,1.96,22065,67.5
2019-10-20,Hamburg,Africa,ro-ro,3.43,2.24,2000.16,1.5,13291,82.47
2018-06-24,Long Beach,South America,tanker,4.26,34.62,2221.87,3.04,20820,71.09
2020-06-14,New York/New Jersey,Africa,bulk,2.94,40.73,1799.75,2.45,20728,71.9
2016-04-03,Houston,South America,tanker,3.22,22.01,2586.64,2.92,14211,76.96
2016-03-13,Antwerp,Europe,bulk,0.74,26.87,2888.0,2.14,11485,80.46
2024-05-12,Valencia,North America,container,0.82,27.62,2701.4,1.33,18595,80.07
2021-04-04,New York/New Jersey,Europe,ro-ro,2.04,51.54,2464.91,1.58,19197,70.46
2017-04-16,Valencia,North America,ro-ro,2.1,9.53,2571.85,1.35,14196,82.94
2018-11-18,Savannah,South America,bulk,3.06,24.72,1279.29,2.23,14933,76.46
2024-07-21,Ningbo,South America,container,3.11,23.04,1824.57,1.92,14753,76.87
2023-06-11,Savannah,Africa,ro-ro,2.05,28.33,2545.91,1.97,19674,77.4
2018-10-28,Colombo,Africa,ro-ro,7.61,18.49,2756.24,2.52,15498,69.23
2015-01-04,Shanghai,Middle East,tanker,2.63,9.2,1838.5,2.46,18303,81.98
2024-09-01,Rotterdam,Asia,ro-ro,6.44,30.79,2637.56,2.91,19201,67.88
2020-07-26,Ningbo,Asia,bulk,7.19,33.63,1879.5,2.11,13463,65.53
2021-09-12,Shanghai,Africa,tanker,1.91,12.93,1347.52,1.6,20903,82.3
2023-08-20,Savannah,Europe,ro-ro,2.54,29.51,1093.49,2.55,18857,76.07
2015-02-15,Singapore,South America,ro-ro,2.03,36.0,2713.78,2.72,18570,75.14
2024-09-22,Rotterdam,Europe,container,3.93,27.66,2016.45,2.16,11362,73.84
2023-06-25,Ningbo,North America,ro-ro,4.05,53.39,2415.48,3.06,20025,65.88
2021-09-19,Durban,Europe,bulk,5.28,43.52,2350.85,2.42,19694,66.38
2017-02-19,Hamburg,Europe,tanker,2.51,32.27,1340.6,1.66,10586,75.3
2024-11-03,Ningbo,Asia,ro-ro,4.23,26.32,2471.45,2.66,20508,73.64
2017-01-08,Ningbo,South America,bulk,4.18,12.11,1415.41,3.31,13522,78.01
2018-01-14,Singapore,Europe,bulk,0.52,14.48,1946.08,3.4,18550,84.62
2022-10-09,Rotterdam,Europe,bulk,2.81,51.61,1348.81,3.08,20085,68.9
2021-05-23,Manzanillo,Middle East,ro-ro,0.97,66.66,1563.03,2.31,33180,68.06
2020-04-12,Hamburg,Asia,ro-ro,4.84,13.85,1303.44,2.45,16166,76.16
2020-12-13,Busan,Europe,tanker,1.82,38.28,1511.43,2.69,16600,74.88
2021-07-18,Busan,Africa,tanker,5.11,28.27,2319.0,3.2,19391,71.3
2023-10-29,Ningbo,Middle East,ro-ro,2.09,21.21,1223.45,3.04,14167,79.46
2023-03-12,Los Angeles,Middle East,container,0.2,26.41,1217.48,2.18,25001,81.68
2023-01-08,Busan,Africa,bulk,1.35,19.97,2161.3,2.87,21463,81.31
2023-12-17,Shanghai,North America,bulk,5.23,9.51,2166.5,2.62,18145,76.69
2019-02-03,Shanghai,Asia,tanker,1.59,21.15,572.07,2.06,17446,80.47
2015-06-21,Singapore,Middle East,ro-ro,1.21,38.3,2124.06,1.6,13774,76.09
2021-05-23,Durban,South America,bulk,3.09,23.38,2481.5,2.13,18926,76.81
2019-03-24,Tanjung Priok,South America,ro-ro,3.17,27.75,1979.52,2.4,21619,75.33
2020-05-17,Savannah,North America,bulk,1.86,3.53,1351.81,1.77,13033,85.22
2018-02-25,Singapore,Africa,ro-ro,1.45,11.56,1622.62,1.45,14278,83.63
2024-03-24,Long Beach,Africa,ro-ro,3.11,5.65,1893.59,2.71,13536,82.08
2024-07-21,Hamburg,Asia,ro-ro,2.4,40.53,2710.17,1.34,15545,73.04
2016-02-28,Savannah,North America,tanker,4.55,14.52,1923.72,1.58,23156,76.54
2020-05-31,Durban,Asia,ro-ro,3.16,34.4,2994.61,2.91,20319,73.36
2020-08-02,Savannah,Middle East,bulk,5.7,28.87,2329.74,2.31,22014,69.94
2016-06-12,Singapore,Africa,ro-ro,3.97,37.23,2061.94,2.7,14394,70.89
2017-12-24,Houston,South America,tanker,2.4,31.8,3791.38,1.87,14247,75.66
2018-12-02,Durban,North America,ro-ro,4.45,50.25,1938.53,2.68,25951,66.02
2019-10-27,Singapore,South America,tanker,4.14,25.3,2436.58,1.67,21564,74.13
2020-09-20,Los Angeles,Europe,container,3.26,40.54,2005.27,1.84,19969,71.32
2021-02-28,Busan,Middle East,bulk,4.82,40.18,3429.21,2.76,19787,68.31
2018-08-12,Singapore,Middle East,bulk,3.17,24.45,1778.48,1.98,10899,76.32
2024-01-14,Busan,Asia,bulk,3.53,53.4,2291.19,2.58,22401,66.92
2020-02-02,Shanghai,South America,container,5.51,36.44,2776.54,2.06,22864,68.05
2017-10-01,Savannah,Africa,ro-ro,5.2,22.88,2741.43,3.13,14710,72.74
2023-05-21,Jebel Ali,Middle East,container,1.07,23.67,1207.21,1.61,20068,80.76
2016-03-06,Manzanillo,Asia,container,0.77,19.74,1842.14,1.26,16924,82.54
2023-07-30,Long Beach,South America,tanker,4.29,24.7,2251.27,2.84,12210,74.01
2024-08-25,Ningbo,South America,tanker,0.71,15.48,1672.7,2.26,13312,83.94
2016-04-24,New York/New Jersey,South America,container,7.13,2.48,1841.98,2.89,7774,75.0
2017-03-19,Durban,Europe,container,0.79,43.34,3014.81,2.8,19626,75.42
2024-03-10,Tanjung Priok,Africa,bulk,7.55,48.11,2145.19,1.76,21085,60.47
2016-06-05,Felixstowe,Asia,ro-ro,3.22,30.58,2792.92,2.26,6150,74.39
2023-11-12,Houston,Africa,tanker,7.72,10.53,1349.35,1.97,11617,71.4
2016-06-05,Rotterdam,Africa,tanker,4.61,24.74,2666.16,3.31,18666,73.36
2023-11-26,Manzanillo,Africa,ro-ro,4.18,39.88,2589.8,1.56,11557,69.68
2015-05-31,Jebel Ali,South America,tanker,4.73,44.85,2550.54,1.85,23830,67.09
2015-02-15,Tanjung Priok,Middle East,container,4.7,31.98,2879.22,2.65,20836,71.01
2015-03-01,Hamburg,Asia,ro-ro,3.67,27.34,1751.3,2.76,16337,74.46
2017-12-17,Shanghai,Europe,tanker,4.13,57.86,1844.03,2.0,19920,64.38
2023-12-24,Antwerp,South America,tanker,3.18,39.1,2243.27,2.61,14915,71.91
2017-12-31,Antwerp,Europe,bulk,0.86,37.16,2102.64,2.26,28275,77.13
2021-01-17,Rotterdam,North America,container,3.53,11.41,1990.73,2.9,8486,79.52
2015-10-11,Houston,South America,tanker,1.14,36.95,1477.76,2.4,24920,76.63
2016-05-08,Singapore,Asia,bulk,5.08,16.04,1772.77,3.34,22800,75.03
2019-02-03,Antwerp,Asia,bulk,4.01,54.46,2577.46,2.36,27701,65.64
2023-04-30,Shanghai,Europe,bulk,0.53,5.78,1884.1,2.01,16045,87.21
2021-12-19,Los Angeles,Europe,ro-ro,0.2,57.18,1670.22,1.77,30458,72.45
2017-06-04,Jebel Ali,North America,ro-ro,0.39,40.76,2622.87,2.4,30497,76.99
2019-02-03,Jebel Ali,North America,ro-ro,1.96,36.08,1402.16,1.99,18897,75.26
2023-08-13,Jebel Ali,Europe,bulk,4.86,24.71,3131.86,2.39,14280,72.87
2022-06-19,Colombo,North America,container,4.38,13.46,1596.58,2.96,17323,77.2
2018-06-10,Manzanillo,South America,container,3.35,31.8,2776.16,2.97,18630,73.76
2018-03-11,Antwerp,North America,ro-ro,2.1,22.87,1670.02,3.38,24748,78.94
2022-01-09,Singapore,Middle East,bulk,3.26,36.12,1768.89,1.87,21608,72.64
2019-02-17,New York/New Jersey,South America,tanker,4.48,65.19,2567.25,2.01,22108,61.48
2024-05-19,Shanghai,South America,container,3.14,37.74,1708.45,1.96,25383,72.4
2023-12-17,Los Angeles,North America,ro-ro,6.5,47.47,2427.78,1.58,33917,62.76
2023-04-02,Jebel Ali,North America,tanker,4.07,42.83,1798.67,2.58,24966,69.01
2022-01-30,Ningbo,North America,ro-ro,7.76,37.94,1728.57,2.31,10021,63.1
2020-11-22,Hamburg,Africa,container,6.23,20.32,2430.41,1.82,18571,71.44
2022-08-28,Santos,North America,tanker,5.35,24.3,1839.39,2.44,9944,72.01
2021-05-09,Long Beach,Europe,bulk,2.22,28.38,2883.63,2.06,9001,77.05
2018-06-24,Colombo,North America,bulk,1.97,9.73,2923.7,2.5,14923,83.14
2018-01-21,Houston,Africa,ro-ro,3.3,36.92,3355.17,3.58,20952,72.32
2015-10-04,Long Beach,South America,bulk,3.43,34.73,1789.52,2.87,21636,72.72
2020-10-04,Busan,South America,ro-ro,3.25,20.61,2423.64,2.72,19920,77.32
2018-02-04,Felixstowe,Europe,bulk,1.11,6.79,2749.53,2.39,19513,85.74
2017-12-24,Rotterdam,Asia,container,5.26,17.09,2063.94,3.21,18393,74.35
2018-03-11,Los Angeles,Middle East,bulk,0.9,44.31,2410.21,2.52,20775,74.91
2021-01-03,Jebel Ali,Africa,tanker,4.21,19.37,1256.95,2.38,10344,75.77
2020-03-15,Tanjung Priok,Asia,container,6.41,42.63,2702.97,2.61,16414,64.39
2015-07-05,Singapore,North America,ro-ro,2.36,13.38,1564.88,2.09,14718,81.27
2015-09-06,Houston,Middle East,container,6.18,32.55,1941.88,3.42,22633,67.88
2022-05-29,Tanjung Priok,Africa,bulk,5.46,38.29,3190.04,2.85,22087,67.59
2018-02-04,Savannah,North America,tanker,1.99,29.49,1533.71,2.73,17407,77.17
2019-05-19,New York/New Jersey,Middle East,container,7.74,10.81,2301.57,2.45,15923,71.28
2017-03-19,Santos,Middle East,ro-ro,3.74,48.97,3331.04,2.02,22999,67.83
2023-08-20,Houston,South America,container,2.74,56.17,2268.63,0.88,33356,67.67
2021-02-07,Santos,Middle East,tanker,0.2,49.66,2810.67,1.75,16391,74.7
2017-07-09,Singapore,Africa,tanker,0.91,41.6,2624.28,3.33,20664,75.7
2016-11-20,Santos,Middle East,bulk,0.2,35.01,2251.06,2.71,15691,79.1
2017-06-18,Hamburg,South America,bulk,2.94,41.87,3280.56,1.71,17916,71.56
2017-10-22,Hamburg,Africa,container,6.42,58.4,2641.37,2.55,30504,59.64
2016-11-13,Jebel Ali,Asia,container,0.2,13.38,2612.5,3.36,16063,85.59
2019-11-24,Hamburg,Asia,bulk,6.48,31.48,2180.59,2.42,19443,67.6
2020-11-29,Singapore,Africa,ro-ro,7.17,29.97,3256.43,2.19,15449,66.67
2020-03-29,Houston,Asia,ro-ro,5.94,34.2,2149.8,2.4,17352,67.86
2022-05-08,Houston,South America,container,4.61,44.34,2634.33,2.73,20449,67.48
2022-07-24,Long Beach,Europe,bulk,3.61,27.46,2813.24,1.14,16819,74.54
2015-04-12,Houston,Africa,container,0.2,15.27,2026.86,2.44,20241,85.02
2019-09-01,Rotterdam,Middle East,tanker,5.76,14.09,2325.6,2.01,13043,74.25
2015-03-22,Colombo,Middle East,ro-ro,0.2,43.53,1909.96,2.85,26202,76.54
2021-10-03,Antwerp,Africa,ro-ro,5.33,26.41,1568.93,1.34,21143,71.42
2023-11-12,Antwerp,Middle East,tanker,4.85,74.02,3460.17,2.58,27773,58.09
2023-08-20,Savannah,Africa,tanker,2.14,34.57,1777.22,1.71,14185,75.35
2021-08-15,Singapore,Europe,tanker,4.15,9.78,2702.05,1.54,16202,78.77
2021-09-12,Santos,South America,ro-ro,4.59,17.67,1371.19,3.53,22720,75.52
2016-11-20,Singapore,South America,tanker,0.2,51.09,1760.78,2.75,18713,74.27
2016-03-27,Busan,Middle East,container,4.58,34.62,2493.88,2.31,15053,70.45
2017-06-25,Savannah,Europe,ro-ro,2.53,8.7,1858.84,2.71,16838,82.33
2017-03-05,Savannah,South America,tanker,3.73,13.93,1293.16,2.2,21942,78.36
2017-06-25,Busan,Asia,ro-ro,7.96,45.3,2855.95,2.38,15749,60.49
2023-07-23,Durban,North America,bulk,3.94,8.65,1351.65,1.22,5421,79.53
2022-10-23,Manzanillo,Europe,bulk,2.28,23.24,2935.42,1.49,15525,78.47
2019-05-12,Los Angeles,Europe,tanker,2.28,15.4,3311.68,1.46,12705,80.82
2017-12-24,Colombo,South America,container,4.64,21.76,1607.39,3.04,16562,74.19
2022-02-13,Durban,Europe,bulk,6.31,63.72,2470.71,2.9,22204,58.26
2022-05-08,Rotterdam,North America,bulk,6.22,20.77,2580.81,2.58,18960,71.33
2019-06-09,Houston,South America,ro-ro,1.98,39.38,2149.78,1.35,20008,74.23
2018-12-23,Shanghai,North America,ro-ro,3.28,6.46,2348.93,2.08,12228,81.5
2020-10-25,Jebel Ali,South America,ro-ro,3.65,60.64,2058.28,2.25,23867,64.51
2024-05-05,Valencia,Asia,bulk,0.82,50.29,2225.45,2.44,29102,73.27
2020-11-22,Los Angeles,North America,tanker,2.42,47.72,2165.87,1.79,23809,70.84
